"id","title","interpreter","composer","texter","album","language","instrumentation","velocity","volume","atmosphere","all_genres","feelings"
176,The A Team ,Ed Sheeran,,,,englisch,,,,,,
177,Unchained Melody (Remastered) ,Righteous Brothers,,,,englisch,,,,,,
178,The Power Of Love ,Frankie Goes To Hollywood,,,,englisch,,,,,,
179,When Did Your Heart Go Missing? ,Rooney,,,,englisch,,,,,,
180,"2002",Anne-Marie,,,,englisch,,,,,,
181,Whatever It Takes ,Imagine Dragons,,,,englisch,,,,,,
182,Dusk Till Dawn (Radio Edit) ,ZAYN,,,,englisch,,,,,,
183,Walk Me Home ,P!nk,,,,englisch,,,,,,
184,Demons ,Imagine Dragons,,,,englisch,,,,,,
185,F**kin' Perfect ,P!nk,,,,englisch,,,,,,
186,Try ,P!nk,,,,englisch,,,,,,
187,Funhouse ,P!nk,,,,englisch,,,,,,
188,Here I Am (Classic Version) ,Bryan Adams,,,,englisch,,,,,,
189,Paradise ,Coldplay,,,,englisch,,,,,,
190,Secrets ,OneRepublic,,,,englisch,,,,,,
191,Piano Man ,Billy Joel,,,,englisch,,,,,,
192,Streets of London ,Ralph McTell,,,Spiral Staircase,englisch,Vocal,Slow,Calm,Sad,"Folk,Oldie","Melancholic,Lonely,Folkloristisch,Lyrisch/poetisch,Zärtlichkeit,introspektiv"
193,The Sound of Silence ,Simon & Garfunkel,,,,englisch,,,,,,
194,Castle on the Hill ,Ed Sheeran,,,,englisch,,,,,,
195,Love Someone ,Lukas Graham,,,,englisch,,,,,,
196,Unstoppable ,Sia,,,,englisch,,,,,,
197,Hall of Fame ,The Script,,,,englisch,,,,,,
198,Legends Never Die ,League of Legends,,,,englisch,,,,,,
199,Happier ,Ed Sheeran,,,,englisch,,,,,,
200,Galway Girl ,Ed Sheeran,,,,englisch,,,,,,
201,Love Runs Out ,OneRepublic,,,,englisch,,,,,,
202,Unchained Melody (Remastered) ,Righteous Brothers,,,,englisch,,,,,,
203,This Is The Life ,Amy Macdonald,,,,englisch,,,,,,
204,It's My Life ,Bon Jovi,,,,englisch,,,,,,
205,I Still Haven't Found What I'm Looking For ,U2,,,,englisch,,,,,,
206,Forever Young (2019 Remaster) ,Alphaville,,,,englisch,,,,,,
207,Wherever I Go ,OneRepublic,,,,englisch,,,,,,
208,Let's Hurt Tonight ,OneRepublic,,,,englisch,,,,,,
209,Stop And Stare ,OneRepublic,,,,englisch,,,,,,
210,You're Beautiful ,James Blunt,,,,englisch,,,,,,
211,Apologize ,OneRepublic,,,,englisch,,,,,,
212,Sea Shanty Medley ,Home Free,,,,englisch,,,,,,
213,My Way ,Frank Sinatra,,,,englisch,,,,,,
214,Spirits ,The Strumbellas,,,,englisch,,,,,,
215,We Are Young (feat. Janelle Monáe) ,fun.,,,,englisch,,,,,,
216,Bad Day ,Daniel Powter,,,,englisch,,,,,,
217,Let Her Go ,Passenger,,,,englisch,,,,,,
218,Holes (Radio Version) ,Passenger,,,,englisch,,,,,,
219,Kids ,MGMT,,,,englisch,,,,,,
220,Complicated ,Avril Lavigne,,,,englisch,,,,,,
221,Fix You ,Coldplay,,,,englisch,,,,,,
222,Viva La Vida ,Coldplay,,,,englisch,,,,,,
223,Fairytale ,Alexander Rybak,,,,englisch,,,,,,
224,Sleepless (Søvnlaus) ,Chris Holsten,,,,englisch,,,,,,
225,Let Her Go (Anniversary Edition) ,Passenger,,,,englisch,,,,,,
226,Father And Son (Remastered 2020) ,Yusuf / Cat Stevens,,,,englisch,,,,,,
227,Wherever You Will Go ,The Calling,,,,englisch,,,,,,
228,Thinking out Loud ,Ed Sheeran,,,,englisch,,,,,,
229,Don't Stop Believin' ,Journey,,,,englisch,,,,,,
